EcoLocationID_short,Population,Samples.renames,PAR_mean,Turbidity_mean,ubedmean,dist_to_shore,temp_mean,temp_monthly_range
OCCH_BA1S,Central,BLCH145A,0.000599048,0.294557428,0.178304179,86014.57932,26.91844596,5.108059141
OCCH_BA1S,Central,BLCH148A,0.000599048,0.294557428,0.178304179,86014.57932,26.91844596,5.108059141
OCCH_BA1S,Central,BLCH151A,0.000599048,0.294557428,0.178304179,86014.57932,26.91844596,5.108059141
OCCH_BA1S,Central,BLCH152A,0.000599048,0.294557428,0.178304179,86014.57932,26.91844596,5.108059141
OCCH_BA1S,Central,BLCH154A,0.000599048,0.294557428,0.178304179,86014.57932,26.91844596,5.108059141
OCCH_BA1S,Central,BLCH157A,0.000599048,0.294557428,0.178304179,86014.57932,26.91844596,5.108059141
OCCH_BA1S,Central,Spis-OCCH-655,0.000599048,0.294557428,0.178304179,86014.57932,26.91844596,5.108059141
OCCH_BA1S,Central,Spis-OCCH-659,0.000599048,0.294557428,0.178304179,86014.57932,26.91844596,5.108059141
OCCH_BA1S,Central,Spis-OCCH-668,0.000599048,0.294557428,0.178304179,86014.57932,26.91844596,5.108059141
OCCH_BA2S,Central,BLCH174A,0.0006041,0.285792887,0.237781518,86500.72511,26.93911333,5.113506105
OCCH_BA2S,Central,Spis-OCCH-628,0.0006041,0.285792887,0.237781518,86500.72511,26.93911333,5.113506105
OCCH_BA2S,Central,Spis-OCCH-629,0.0006041,0.285792887,0.237781518,86500.72511,26.93911333,5.113506105
OCCH_BA2S,Central,Spis-OCCH-634,0.0006041,0.285792887,0.237781518,86500.72511,26.93911333,5.113506105
OCDA_BA1D,Central,BLCH4A,0.000349944,0.323370693,0.177908782,65089.23655,26.55525409,4.711729262
OCDA_BA1D,Central,Spis-OCDA-770,0.000349944,0.323370693,0.177908782,65089.23655,26.55525409,4.711729262
OCDA_BA1D,Central,Spis-OCDA-776,0.000349944,0.323370693,0.177908782,65089.23655,26.55525409,4.711729262
OCDA_BA1S,Central,BLCH10A,0.000600223,0.303429401,0.223752171,65086.39515,26.82837562,5.280591117
OCDA_BA1S,Central,BLCH11A,0.000600223,0.303429401,0.223752171,65086.39515,26.82837562,5.280591117
OCDA_BA1S,Central,BLCH16A,0.000600223,0.303429401,0.223752171,65086.39515,26.82837562,5.280591117
OCDA_BA1S,Central,BLCH20A,0.000600223,0.303429401,0.223752171,65086.39515,26.82837562,5.280591117
OCDA_BA1S,Central,BLCH9A,0.000600223,0.303429401,0.223752171,65086.39515,26.82837562,5.280591117
OCDA_BA1S,Central,Spis-OCDA-779,0.000600223,0.303429401,0.223752171,65086.39515,26.82837562,5.280591117
OCDA_BA1S,Central,Spis-OCDA-781,0.000600223,0.303429401,0.223752171,65086.39515,26.82837562,5.280591117
OCDA_BA1S,Central,Spis-OCDA-784,0.000600223,0.303429401,0.223752171,65086.39515,26.82837562,5.280591117
OCDA_BA1S,Central,Spis-OCDA-788,0.000600223,0.303429401,0.223752171,65086.39515,26.82837562,5.280591117
OCDA_BA2S,Central,BLCH101A,0.000600223,0.303429401,0.142410502,66632.89525,26.81949451,5.278877046
OCDA_BA2S,Central,BLCH55A,0.000600223,0.303429401,0.142410502,66632.89525,26.81949451,5.278877046
OCDA_BA2S,Central,BLCH56A,0.000600223,0.303429401,0.142410502,66632.89525,26.81949451,5.278877046
OCDA_BA2S,Central,BLCH85A,0.000600223,0.303429401,0.142410502,66632.89525,26.81949451,5.278877046
OCDA_BA2S,Central,BLCH86A,0.000600223,0.303429401,0.142410502,66632.89525,26.81949451,5.278877046
OCDA_BA2S,Central,BLCH87A,0.000600223,0.303429401,0.142410502,66632.89525,26.81949451,5.278877046
OCDA_BA2S,Central,BLCH91A,0.000600223,0.303429401,0.142410502,66632.89525,26.81949451,5.278877046
OCDA_BA2S,Central,BLCH93A,0.000600223,0.303429401,0.142410502,66632.89525,26.81949451,5.278877046
OCDA_BA2S,Central,BLCH99A,0.000600223,0.303429401,0.142410502,66632.89525,26.81949451,5.278877046
OCDA_FL1D,Central,BLCH42A,0.000346008,0.325427442,0.195349751,68724.50171,26.58510409,4.738352034
OCDA_FL1D,Central,BLCH46A,0.000346008,0.325427442,0.195349751,68724.50171,26.58510409,4.738352034
OCDA_FL1D,Central,BLCH49A,0.000346008,0.325427442,0.195349751,68724.50171,26.58510409,4.738352034
OCDA_FL1D,Central,Spis-OCDA-670,0.000346008,0.325427442,0.195349751,68724.50171,26.58510409,4.738352034
OCDA_FL1D,Central,Spis-OCDA-672,0.000346008,0.325427442,0.195349751,68724.50171,26.58510409,4.738352034
OCDA_FL1D,Central,Spis-OCDA-675,0.000346008,0.325427442,0.195349751,68724.50171,26.58510409,4.738352034
OCDA_FL1D,Central,Spis-OCDA-677,0.000346008,0.325427442,0.195349751,68724.50171,26.58510409,4.738352034
OCDA_FL1D,Central,Spis-OCDA-679,0.000346008,0.325427442,0.195349751,68724.50171,26.58510409,4.738352034
OCDA_FL1S,Central,BLCH108A,0.000596752,0.305523017,0.218452258,68733.11115,26.82777037,5.276223712
OCDA_FL1S,Central,BLCH109A,0.000596752,0.305523017,0.218452258,68733.11115,26.82777037,5.276223712
OCDA_FL1S,Central,BLCH112A,0.000596752,0.305523017,0.218452258,68733.11115,26.82777037,5.276223712
OCDA_FL1S,Central,BLCH114A,0.000596752,0.305523017,0.218452258,68733.11115,26.82777037,5.276223712
OCDA_FL1S,Central,BLCH117A,0.000596752,0.305523017,0.218452258,68733.11115,26.82777037,5.276223712
OCDA_FL1S,Central,BLCH118A,0.000596752,0.305523017,0.218452258,68733.11115,26.82777037,5.276223712
OCDA_FL1S,Central,BLCH120A,0.000596752,0.305523017,0.218452258,68733.11115,26.82777037,5.276223712
OCDA_FL1S,Central,BLCH121A,0.000596752,0.305523017,0.218452258,68733.11115,26.82777037,5.276223712
OCDA_FL1S,Central,BLCH122A,0.000596752,0.305523017,0.218452258,68733.11115,26.82777037,5.276223712
OCDA_FL1S,Central,Spis-OCDA-683,0.000596752,0.305523017,0.218452258,68733.11115,26.82777037,5.276223712
OCDA_FL1S,Central,Spis-OCDA-691,0.000596752,0.305523017,0.218452258,68733.11115,26.82777037,5.276223712
OCDA_FR1D,Central,BLCH35A,0.000349944,0.323370693,0.135987291,67119.26373,26.57208457,4.725968043
OCDA_FR1D,Central,BLCH38A,0.000349944,0.323370693,0.135987291,67119.26373,26.57208457,4.725968043
OCDA_FR1D,Central,BLCH41A,0.000349944,0.323370693,0.135987291,67119.26373,26.57208457,4.725968043
OCDA_FR1D,Central,Spis-OCDA-600,0.000349944,0.323370693,0.135987291,67119.26373,26.57208457,4.725968043
OCDA_FR1D,Central,Spis-OCDA-601,0.000349944,0.323370693,0.135987291,67119.26373,26.57208457,4.725968043
OCDA_FR1D,Central,Spis-OCDA-602,0.000349944,0.323370693,0.135987291,67119.26373,26.57208457,4.725968043
OCDA_FR1D,Central,Spis-OCDA-603,0.000349944,0.323370693,0.135987291,67119.26373,26.57208457,4.725968043
OCDA_FR1S,Central,BLCH22A,0.000600223,0.303429401,0.271109081,67165.19243,26.82817039,5.278131909
OCDA_FR1S,Central,BLCH31A,0.000600223,0.303429401,0.271109081,67165.19243,26.82817039,5.278131909
OCDA_FR1S,Central,BLCH32A,0.000600223,0.303429401,0.271109081,67165.19243,26.82817039,5.278131909
OCDA_FR1S,Central,Spis-OCDA-613,0.000600223,0.303429401,0.271109081,67165.19243,26.82817039,5.278131909
OCDA_FR2D,Central,Spis-OCDA-570,0.000349944,0.323370693,0.205828632,65423.43541,26.55077452,4.709759606
OCDA_FR2D,Central,Spis-OCDA-573,0.000349944,0.323370693,0.205828632,65423.43541,26.55077452,4.709759606
OCDA_FR2D,Central,Spis-OCDA-576,0.000349944,0.323370693,0.205828632,65423.43541,26.55077452,4.709759606
OCDA_FR2D,Central,Spis-OCDA-577,0.000349944,0.323370693,0.205828632,65423.43541,26.55077452,4.709759606
OCDA_FR2D,Central,Spis-OCDA-579,0.000349944,0.323370693,0.205828632,65423.43541,26.55077452,4.709759606
OCDA_FR2D,Central,Spis-OCDA-581,0.000349944,0.323370693,0.205828632,65423.43541,26.55077452,4.709759606
OCDA_FR2D,Central,Spis-OCDA-582,0.000349944,0.323370693,0.205828632,65423.43541,26.55077452,4.709759606
OCDA_FR2S,Central,BLCH63A,0.000600223,0.303429401,0.363756069,65409.38485,26.83256238,5.299685584
OCDA_FR2S,Central,BLCH78A,0.000600223,0.303429401,0.363756069,65409.38485,26.83256238,5.299685584
OCDA_FR2S,Central,Spis-OCDA-588,0.000600223,0.303429401,0.363756069,65409.38485,26.83256238,5.299685584
OCDA_FR2S,Central,Spis-OCDA-589,0.000600223,0.303429401,0.363756069,65409.38485,26.83256238,5.299685584
OCDA_FR2S,Central,Spis-OCDA-593,0.000600223,0.303429401,0.363756069,65409.38485,26.83256238,5.299685584
OCDA_FR2S,Central,Spis-OCDA-594,0.000600223,0.303429401,0.363756069,65409.38485,26.83256238,5.299685584
OCDA_FR2S,Central,Spis-OCDA-595,0.000600223,0.303429401,0.363756069,65409.38485,26.83256238,5.299685584
OCDA_LA1S,Central,BLCH105A,0.000600223,0.303429401,0.238885502,64573.84243,26.82450609,5.286109077
OCDA_LA1S,Central,BLCH107A,0.000600223,0.303429401,0.238885502,64573.84243,26.82450609,5.286109077
OCDA_LA1S,Central,Spis-OCDA-740,0.000600223,0.303429401,0.238885502,64573.84243,26.82450609,5.286109077
OCDA_LA1S,Central,Spis-OCDA-742,0.000600223,0.303429401,0.238885502,64573.84243,26.82450609,5.286109077
OCDA_LA1S,Central,Spis-OCDA-743,0.000600223,0.303429401,0.238885502,64573.84243,26.82450609,5.286109077
OCDA_LA1S,Central,Spis-OCDA-746,0.000600223,0.303429401,0.238885502,64573.84243,26.82450609,5.286109077
